participant,version,group,country,eye_tracked,vision,DELE ,age,parents_lang,education,gender,handed,AoA_L2,age_fluent_L2,other_lang,mo_ES_country,l1_school,l2_school,expos_baby,expos_child,expos_adult,percent_l1_week,percent_l2_week,sports,sport_length,sport_pro,music,music_length,music_pro,drive,drive_length,WM_set,WM_word_order
AES25,3,aes,us,left,glasses,41,33,yes,undergrad,female,right,14,21,Catalan,168,"E., M., H., U.",U.,english,english,"english, spanish, catalan",30,70,"skiing, football","sk 13, fb 4",no,"piano, clarinete, oboe","pn 12, cl 6, ob 0.5",no,yes,17 (no conduce),8,
AES26,1,aes,uk,right,contacts,44,21,yes,undergrad,female,right,12,15,no,10,"E., M., H., U.",no,english,"english, french","english, spanish, catalan",50,50,"hockey, netball","hk 8, nb 4",no,chelo,14,no,yes,3 (no conduce),10,
AES27,4,aes,uk,right,normal,45,35,yes,master,female,right,14,25,no,96,"E., M., H., U.",U.,english,english,"english, spanish, french, catalan",50,50,gym,5,no,guitar,5,no,no,no,9,
AES28,2,aes,uk,,contacts,41,31,yes,master,female,right,14,29,no,24,"E., M., H., U.",no,english,english,"english, spanish",80,20,"dancing, gym, biking, personal trainer","dn 15, gy 12, bk 2, pt 2",yes,"sing, piano, violin, recorder, saxo","sg 25, pn 6, vn 5, rc 7, sx 0.5",no,no,no,11,
AES29,3,aes,us,left,glasses,45,33,yes,phd,male,right,14,29,"Danish, Greek, Catalan",48,"E., M., H., U.",no,english,english,"english, spanish, danish, greek, catalan",80,20,"running, boxing, wrestling","rn 20, bx 0.5, wr 4",no,no,no,no,yes,17 (no conduce),11,
AES30,4,aes,uk,right,normal,47,26,yes,undergrad,female,right,20,22,no,72,"E., M., H., U.",no,english,english,"english, spanish, catalan",50,50,"biking, running","bk 20, rn 3",no,"guitar, piano","gt 14, pn 14 ",no,no,no,9,
AES31,1,aes,us,right,contacts,43,31,yes,undergrad,female,right,26,27,French,54,"E., M., H., U.",no,english,"english, french","english, french, spanish, catalan",40,60,"triatlon, swimming, remo","tr 4, sw 15, rm 4",no,"piano, violin","pn 8, vl 5",no,yes,15 (no conduce),5,
AES32,2,aes,uk,right,normal,41,31,yes,master,female,right,18,21,"French, Italian, Catalan",78,"E., M., H., U.",U.,english,"english, french","english, french, german, spanish, italiano, catalan",90,10,"swimming, football, biking","sw 20, fb 9, bk 5",no,"sing, guitar, ukelele, flute","sg 20, gt 15, uk 6, fl 4",no,yes,13,8,
MON01,1,mon,es,right,glasses,na,19,yes,undergrad,female,right,3,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english",5,95,"swimming, tennis","tennis 5 years, swimming 2 years",no,"guitar, dance","guitar 2 years, dance 7 years",no,no,na,8,42
MON02,2,mon,es,right,normal,na,18,yes,high school,female,right,3,na,no,0,"E., M., H.",M.,spanish,"spanish, english","spanish, english",35,65,"swimming, krav maga",1 each,no,sing,1,no,no,na,9,47
MON03,3,mon,es,right,contacts,na,32,yes,FP,male,right,6,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",10,90,"swimming, socer, basketball, bike, padel","baske 5, soccer 7, padel 1, swimming 5",no,no,no,no,yes,13,10,52
MON04,4,mon,es,right,contacts,na,34,yes,undergrad,female,right,5,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",5,95,"swimming, football, ballet","football 8, swimming 3, ballet 3",8 football,dance,7,no,yes,4 (no conduce),1,21
MON05,1,mon,es,right,normal,na,19,yes,HS,male,right,4,na,no,0,"E., M., H.",no,spanish,"spanish, english","spanish, english",0,100,"soccer, taekwondo, boxeo, krav maga","1 year each, taekowndo 2",no,no,no,no,no,na,4,28
MON06,2,mon,es,right,normal,na,19,yes,HS,female,right,12,na,no,0,"E., M., H.",no,spanish,"spanish, english","spanish, english, french",20,80,"basketball, volleyball","basket 5, volley 2",yes,no,no,no,no,na,5,40
MON07,3,mon,es,right,glasses,na,27,yes,undergrad,female,right,6,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english, portuguese",0,100,no,0,no,"dance, piano","8, 10","no, yes",no,na,5,38
MON08,4,mon,es,right,normal,na,18,yes,undergrad,female,right,6,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",10,80,"volleyball, tennis","volleyball0,5tennis6",no,ukelele,1 mes,no,no,na,5,45
MON09,1,mon,es,right,contacts,na,18,yes,undergrad,male,right,3,na,French,0,"E., M., H., U.",no,spanish,"spanish, english, french","spanish, english, french",15,85,"swimming, judo","judo 3 years, swimming 2",no,no,no,no,no,na,9,47
MON10,2,mon,es,right,normal,na,32,yes,FP,female,right,8,na,no,0,"E., M., H., U.",no,spanish,"spanihs, english","spanish, english, french",5,95,"bike, running",1 each,no,no,no,no,yes,14,5,32
MON11,3,mon,es,right,normal,na,18,yes,undergrad,female,right,12,na,no,0,"E., M., H., U.",M.,spanish,spanish,"spanish, english, french",25,75,"basketball, atletismo","basket 3, atletismo 1.5",no,"guitar, piano, bass, ukelele","4.5, 2, 2, 3",no,no,na,4,35
MON12,4,mon,es,left,glasses,na,29,yes,master,male,right,8,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english, french",20,80,biking,2,no,no,no,no,yes,11 (no conduce),10,52
MON13,1,mon,es,right,contacts,na,28,yes,undergrad,female,right,2,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english, french",20,80,swimming,3,no,no,no,no,yes,4,9,46
MON14,2,mon,es,right,normal,na,28,yes,undergrad,male,right,4,na,no,0,"E., M., H., U.",U.,spanish,"spanish, english","spanish, english, french",20,80,"judo, basketball","2, 3",no,guitar,10,no,yes,10,9,51
MON15,3,mon,es,right,glasses,na,18,yes,FP,female,right,3,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",5,95,"soccer, boxing","1, 1",no,no,no,no,no,na,7,38
MON16,4,mon,es,right,normal,na,18,yes,undergrad,female,right,5,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",0,100,padel,3,no,ukelele,1,no,no,na,4,30
MON17,1,mon,es,right,normal,na,28,yes,oposiciones,male,right,3,na,no,0,"E., M., H., U.",no,spanish,"spanish, english","spanish, english",5,95,"swimming, basketball","1.5, 3",no,"saxophone, solfeo, dance","2, 3, 6",no,yes,9,9,50
